Player,Team,Pos,GP,W%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,Gold%,WPM,WCPM,Split
Abbedagge,Schalke 04,Middle,18,61,65,43,115,4.2,65.5,22.1,11,-60,159,-1.3,8.8,26.4,509,27.7,284.9,24.2,0.46,0.2,Summer Regular
Alphari,Origen,Top,18,39,47,43,65,2.6,53.6,18.3,22,305,250,13.4,8.7,26.1,467,27.2,271.7,24.4,0.46,0.17,Summer Regular
Attila,Vitality,ADC,19,42,61,46,87,3.2,67,16.3,26,179,129,10.1,9.7,33.1,481,26.1,306.1,26.8,0.34,0.39,Summer Regular
Broxah,Fnatic,Jungle,18,78,65,53,134,3.8,60.9,21.1,56,135,-9,-6.2,4.6,13.6,297,14.8,211.2,15.9,0.63,0.29,Summer Regular
Bwipo,Fnatic,Top,17,76,74,59,120,3.3,63,24,41,146,191,-2.1,7.7,23.1,493,23.5,292.6,22.2,0.46,0.2,Summer Regular
Bwipo,Fnatic,Middle,1,100,2,0,6,8,42.1,0,100,458,923,15,8.9,27.8,389,19,304.4,21.2,0.42,0.15,Summer Regular
Cabochard,Vitality,Top,19,42,50,42,87,3.3,62,14.9,5,187,114,4.4,8.2,23.7,400,21.6,265.3,23.5,0.43,0.16,Summer Regular
Caedrel,Excel Esports,Support,1,0,3,11,12,1.4,57.7,22.4,0,-374,-520,3,1.5,8.6,289,11.3,141.2,11.9,1.45,0.19,Summer Regular
Caedrel,Excel Esports,Jungle,17,24,23,48,91,2.4,74.5,19.2,29,28,111,1.6,4.8,13.2,189,12.1,173.9,16.7,0.73,0.51,Summer Regular
Caps,G2 Esports,ADC,1,100,14,7,8,3.1,44.9,25.9,0,2312,215,12,7.8,23,1137,25.2,500.4,27.4,0.19,0.04,Summer Regular
Caps,G2 Esports,Middle,16,88,90,36,79,4.7,55.2,22.5,38,277,150,3.9,8.6,26.2,579,27.8,316.9,23.8,0.37,0.2,Summer Regular
Caps,G2 Esports,Top,1,0,3,8,2,0.6,45.5,29.6,0,-1548,-463,-23,5.6,19.2,385,19.1,169,16.4,0.37,0.15,Summer Regular
Crownshot,SK Gaming,ADC,19,37,71,48,90,3.4,71.9,18.5,32,248,-7,4.8,9.9,32.5,564,30.7,312.9,28.4,0.37,0.4,Summer Regular
Dan Dan,Misfits,Top,10,40,22,24,24,1.9,34.1,13,0,-98,181,-0.1,9.1,28.1,349,19.4,271,23.5,0.41,0.11,Summer Regular
Doss,Misfits,Support,2,0,1,10,17,1.8,72,20.4,0,-64,-397,5.5,0.8,3,169,8.6,95.7,8.9,1.21,0.29,Summer Regular
Dreams,SK Gaming,Support,19,37,17,56,144,2.9,71.9,21.6,32,-47,-1,3.9,1.3,4.6,148,7.8,108.8,9.7,1.36,0.21,Summer Regular
Expect,Excel Esports,ADC,1,0,7,11,8,1.4,57.7,22.4,0,-2312,-215,-12,5.7,14.5,448,17.4,259.7,21.8,0.37,0.11,Summer Regular
Expect,Excel Esports,Top,17,24,27,51,68,1.9,62.1,20.4,29,-38,-110,-6.1,7.4,23,336,22.7,223.6,21.8,0.49,0.19,Summer Regular
Febiven,Misfits,Middle,6,33,12,13,25,2.8,67.3,21,17,-165,-63,-3,9.7,30.2,352,24.4,272.6,25.1,0.49,0.15,Summer Regular
Finn,Rogue,Top,6,50,18,23,44,2.7,65.3,22.5,17,-255,-169,-1,6.7,22.3,449,25.4,220.6,20.6,0.45,0.2,Summer Regular
GorillA,Misfits,Support,8,25,2,17,41,2.5,69.4,15.9,13,50,-105,8,1.6,4.7,152,10.8,97.6,9.3,1.34,0.31,Summer Regular
H1IVA,Misfits,Support,8,50,10,37,55,1.8,59.1,27.2,50,96,95,7.3,1.5,4.5,172,8.8,116.8,9.6,1.4,0.34,Summer Regular
Hans Sama,Misfits,ADC,12,33,38,26,45,3.2,69.2,14.6,17,-155,-140,-8.7,9.3,30.4,429,26.9,297.4,27.2,0.44,0.24,Summer Regular
HeaQ,Rogue,ADC,2,50,2,2,10,6,60,11.8,50,-112,47,-2,8.8,28.1,422,24,239.8,23.5,0.43,0.13,Summer Regular
Hjarnan,Excel Esports,ADC,4,0,3,8,5,1,66.7,15.4,0,37,85,12.3,10,32.8,388,28.6,255.5,28.5,0.32,0.36,Summer Regular
Humanoid,Splyce,Middle,18,67,71,55,78,2.7,58,24.2,17,-78,-32,-1.1,9.6,28.6,482,27,305.5,24.6,0.45,0.21,Summer Regular
